,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Contacts_Count_12_mon,Avg_Utilization_Ratio,Total_Relationship_Count,Months_Inactive_12_mon,Current_customer
8553,80,0.778,0,2,0.0,1,3,y
3577,69,0.683,1179,1,0.049,3,2,y
6232,38,0.9,895,3,0.296,2,3,n
6036,44,0.571,0,4,0.0,6,2,n
1722,35,0.75,2159,4,0.312,4,3,y
94,20,1.222,2440,2,0.963,5,1,y
6244,31,0.292,0,3,0.0,1,3,n
6778,52,0.793,662,2,0.338,5,3,n
5149,33,0.375,2412,2,0.826,5,3,n
422,43,0.955,0,3,0.0,6,2,y
5856,86,0.72,983,3,0.59,3,2,y
785,19,0.462,0,2,0.0,3,3,n
9565,77,0.791,0,3,0.0,2,3,n
6521,50,0.515,2517,3,0.807,6,2,n
1161,17,0.133,0,3,0.0,2,2,n
8356,88,0.63,0,3,0.0,1,1,y
6085,46,0.353,1965,6,0.771,2,2,n
6285,61,1.179,1641,3,0.568,4,2,y
9243,119,0.859,0,2,0.0,2,3,y
559,16,0.333,0,2,0.0,3,3,n
5398,39,0.625,0,4,0.0,3,2,n
9209,69,0.865,0,2,0.0,4,3,n
6078,75,0.786,1658,3,0.488,3,1,y
9142,54,0.862,0,3,0.0,4,3,n
8259,42,0.355,0,4,0.0,2,3,n
5441,68,0.619,1718,2,0.632,5,2,y
3362,46,0.394,633,3,0.026,1,3,n
8691,87,0.673,1289,3,0.144,3,3,y
2888,75,0.471,0,2,0.0,4,3,y
8872,87,0.673,1464,1,0.042,2,1,y
87,32,0.6,0,3,0.0,5,2,y
1639,61,1.033,2317,2,0.363,5,2,y
6622,45,0.452,0,3,0.0,3,2,n
82,12,0.714,0,3,0.0,2,4,n
6522,40,0.6,0,2,0.0,6,2,n
10095,110,0.618,1099,3,0.032,4,1,y
2092,34,0.062,962,1,0.125,5,3,y
4753,76,0.689,0,4,0.0,3,2,y
1074,16,0.231,0,2,0.0,3,2,n
4996,34,0.308,211,3,0.055,4,2,n
9245,66,1.062,0,2,0.0,2,4,n
8483,87,0.642,2209,2,0.644,2,2,y
526,40,1.0,1203,2,0.12,4,1,y
825,60,0.714,2517,2,0.342,4,3,y
1062,32,0.333,2517,1,0.119,4,1,n
9777,64,0.6,463,2,0.074,1,2,n
854,32,0.524,1452,3,0.181,5,3,n
1124,51,0.545,1670,2,0.755,5,2,y
3588,49,0.4,0,2,0.0,3,2,n
278,31,1.214,2481,2,0.14,5,2,y
6250,80,0.86,1490,2,0.629,3,2,y
7805,78,0.444,1724,3,0.081,2,1,y
7418,57,0.9,1576,2,0.585,3,3,n
6113,47,0.567,0,3,0.0,5,3,n
3706,42,0.312,1369,3,0.121,3,3,n
1287,56,0.6,0,0,0.0,4,2,y
1048,18,0.286,0,2,0.0,2,1,n
10089,64,0.829,0,3,0.0,4,3,n
9381,110,0.803,1871,1,0.487,2,2,y
6796,79,0.975,0,1,0.0,5,3,y
5553,52,0.857,0,4,0.0,3,2,n
3366,57,0.676,2457,6,0.259,2,2,n
4270,42,0.556,0,4,0.0,3,3,n
5618,43,0.593,0,3,0.0,6,4,n
51,19,0.9,808,1,0.562,2,3,n
7388,88,0.76,2048,1,0.399,6,3,y
8771,64,0.524,0,3,0.0,4,3,n
5636,78,0.733,2486,3,0.948,5,1,y
8041,49,0.531,2450,3,0.85,2,3,n
7966,43,0.387,1486,3,0.816,1,2,n
4417,23,0.0,1771,3,0.214,6,3,n
8071,80,0.778,1163,1,0.521,2,2,y
9219,116,0.966,2072,1,0.576,2,2,y
5710,71,0.868,0,2,0.0,3,3,y
6267,66,0.61,0,2,0.0,5,3,y
7689,86,0.755,1716,2,0.282,3,2,y
421,42,0.909,2517,2,0.103,5,2,y
6305,64,0.829,864,3,0.572,4,2,y
9754,73,1.028,2517,3,0.298,4,3,n
7865,62,0.676,1454,0,0.389,2,2,y
10126,61,0.649,1961,4,0.189,6,2,n
3983,42,0.556,0,5,0.0,1,2,n
9100,67,0.718,0,3,0.0,2,3,n
2209,70,0.489,0,5,0.0,3,2,y
9212,38,0.652,0,6,0.0,4,3,n
10022,60,0.579,159,4,0.032,1,2,n
10065,58,0.933,821,3,0.031,1,2,n
5626,43,0.654,0,3,0.0,6,2,n
7604,41,0.414,0,2,0.0,3,3,n
5445,40,0.429,792,2,0.442,4,2,n
5557,87,0.977,0,4,0.0,6,1,y
8769,60,0.463,0,2,0.0,1,3,n
5053,81,0.8,2213,1,0.717,5,3,y
2756,79,0.519,1017,4,0.554,3,5,y
6346,88,0.725,1269,2,0.625,4,1,y
7128,45,0.552,0,2,0.0,4,3,n
3189,82,0.673,2035,2,0.578,4,2,y
6397,39,0.345,2517,2,0.726,6,3,n
355,22,1.444,755,3,0.07,6,2,y
2933,59,0.735,1563,3,0.44,4,3,y
8895,100,0.449,1134,3,0.151,2,3,y
4585,40,0.212,1477,4,0.043,6,2,n
8531,88,0.725,1927,1,0.647,1,2,y
7459,50,0.282,1867,6,0.56,3,3,n
5370,69,0.683,1959,1,0.76,6,2,y
3972,68,0.619,0,2,0.0,3,3,y
4833,81,0.761,748,3,0.133,5,1,y
6247,70,0.795,1989,2,0.443,4,2,y
3218,36,0.241,0,2,0.0,1,3,n
7422,67,0.914,730,2,0.508,6,1,y
5913,60,0.765,1680,2,0.393,6,1,y
5722,74,0.85,0,3,0.0,3,3,y
9474,72,1.0,432,3,0.013,6,3,n
6402,28,0.167,0,2,0.0,3,2,n
596,15,0.5,0,2,0.0,3,2,n
1693,15,0.364,926,3,0.08,3,4,n
4177,40,0.379,0,3,0.0,2,2,n
5625,37,0.37,0,2,0.0,5,4,n
6235,37,0.37,522,3,0.363,4,3,n
8509,71,0.972,1936,1,0.726,2,3,y
1860,38,0.583,0,4,0.0,1,3,n
4525,49,0.581,1397,3,0.361,3,3,n
2393,64,0.684,1469,3,0.648,4,3,y
3475,35,0.296,1229,1,0.036,5,2,n
4034,31,0.55,0,4,0.0,3,4,n
3134,31,0.409,2517,3,0.312,2,3,n
8144,46,0.643,2517,3,0.734,2,3,n
4429,54,0.8,204,3,0.044,3,2,n
5711,43,0.654,0,3,0.0,5,0,n
4446,91,0.655,1869,2,0.397,4,1,y
4243,63,0.658,1019,2,0.568,3,2,y
1816,59,0.735,1226,3,0.137,3,1,y
1798,25,0.316,1466,4,0.551,5,1,y
2671,39,0.345,0,4,0.0,3,0,n
5656,39,0.345,1544,4,0.931,3,2,n
3629,51,0.378,2332,1,0.342,3,2,n
3613,65,0.477,1325,4,0.35,3,3,y
8529,86,0.686,1022,3,0.211,1,1,y
8123,43,0.433,0,2,0.0,2,1,n
9201,40,0.429,0,3,0.0,6,3,n
583,14,0.273,788,2,0.144,1,2,n
5175,41,0.464,0,4,0.0,5,2,n
6165,75,0.531,0,3,0.0,5,1,y
7178,67,0.861,1832,3,0.655,4,4,y
5599,40,0.429,1474,2,0.823,3,3,n
5508,75,0.974,0,0,0.0,3,1,y
4582,87,0.891,701,0,0.086,3,3,y
9,32,0.882,1677,3,0.144,6,3,y
4677,34,0.308,1554,3,0.43,6,3,n
4838,51,0.594,0,2,0.0,6,3,n
4467,38,0.407,0,3,0.0,5,2,n
6862,46,0.484,0,3,0.0,6,3,n
4831,65,0.585,0,3,0.0,6,1,y
7882,82,0.864,1600,2,0.288,1,1,y
7974,42,0.355,0,3,0.0,2,3,n
9020,91,0.596,1388,1,0.054,2,3,y
7141,89,0.854,915,1,0.078,6,3,y
3835,35,0.522,0,3,0.0,3,3,n
4640,53,0.606,0,2,0.0,2,3,n
2162,29,0.611,0,3,0.0,3,3,n
8792,86,0.593,2130,1,0.368,1,1,y
2817,60,0.935,1491,4,0.043,4,3,y
406,18,0.059,0,3,0.0,3,3,n
9273,124,0.797,0,1,0.0,2,2,y
6852,78,0.5,0,3,0.0,6,3,y
9672,78,1.294,0,5,0.0,4,4,n
8482,87,0.706,2336,2,0.575,2,2,y
6963,88,0.833,750,3,0.521,3,1,y
3584,44,0.76,2517,1,0.446,3,1,n
5878,44,0.257,0,5,0.0,3,3,n
8430,81,0.653,0,2,0.0,1,2,y
9010,56,0.806,0,2,0.0,2,3,n
2846,35,0.25,2099,3,0.061,4,5,y
7344,38,0.357,0,2,0.0,2,3,n
902,65,0.806,2310,2,0.134,6,2,y
9014,74,0.574,0,1,0.0,2,3,n
5890,38,0.583,696,5,0.181,2,3,n
1827,26,0.238,2089,4,0.063,1,4,n
9858,123,0.708,1913,4,0.055,3,1,y
5491,39,0.345,0,3,0.0,5,2,n
1763,44,0.333,1599,3,0.581,4,3,y
10046,104,0.763,1912,2,0.394,3,2,y
5275,40,0.481,1211,4,0.841,1,2,n
4530,67,0.763,1769,4,0.484,3,2,y
3179,84,0.787,2517,3,0.763,6,2,y
8477,84,0.75,1654,1,0.673,1,3,y
1520,58,0.657,606,3,0.06,5,3,y
3339,81,0.884,1317,2,0.426,5,3,y
8022,41,0.323,0,1,0.0,2,2,n
2520,63,0.909,654,2,0.08,5,2,y
1622,63,0.853,1873,2,0.327,4,2,y
3555,26,0.13,512,4,0.035,2,3,n
6011,45,0.875,1960,3,0.317,5,4,n
5750,82,1.0,919,2,0.417,4,1,y
7042,78,0.902,0,1,0.0,4,3,y
9725,75,0.974,1629,3,0.068,2,2,n
819,39,0.393,0,2,0.0,6,2,y
7618,48,0.6,0,3,0.0,3,3,n
2669,77,0.571,1372,1,0.819,4,3,y
7591,84,0.68,2356,1,0.245,6,3,y
2103,36,0.565,916,2,0.1,6,3,y
2306,64,0.73,2098,5,0.138,3,1,y
9659,60,1.069,2466,2,0.272,3,3,n
1566,44,0.833,0,4,0.0,5,2,y
2056,56,0.75,1378,1,0.11,4,3,y
4926,36,0.286,0,4,0.0,1,2,n
6905,69,0.769,780,2,0.196,6,2,y
7770,51,0.7,0,3,0.0,2,2,n
7414,60,1.0,970,0,0.52,5,2,y
3952,28,0.556,0,2,0.0,3,3,n
2403,27,0.8,243,3,0.06,1,4,n
1059,39,0.696,1888,3,0.775,4,2,y
4688,36,0.44,0,4,0.0,1,1,n
3347,82,0.783,1135,4,0.288,5,2,y
332,46,0.643,1605,0,0.625,4,1,y
4648,30,0.579,1737,2,0.258,3,2,n
7080,51,0.821,2517,3,0.793,3,3,n
7370,82,0.547,2458,1,0.368,4,4,y
6335,58,0.933,2517,2,0.69,3,2,n
7187,41,0.64,0,2,0.0,6,2,n
3195,71,0.511,800,1,0.088,5,3,y
4580,88,0.833,2090,1,0.703,4,2,y
6007,87,0.706,0,3,0.0,5,2,y
1070,67,0.718,740,2,0.408,5,2,y
7067,67,0.595,1123,2,0.089,5,3,y
7806,37,0.609,0,2,0.0,2,5,n
4746,71,0.651,1596,1,0.256,5,1,y
9948,63,0.75,2201,3,0.064,4,3,n
7386,88,0.833,0,2,0.0,6,4,y
9921,74,0.947,2097,4,0.07,2,3,n
1213,30,1.143,1310,3,0.233,6,3,y
9415,63,0.703,2517,3,0.17,1,3,n
3276,69,0.643,2191,3,0.239,6,3,y
7135,36,0.5,1079,3,0.42,5,3,n
4360,78,0.857,0,3,0.0,3,2,y
6065,47,0.621,2517,3,0.721,5,3,n
5016,51,0.5,284,2,0.118,3,6,n
6535,49,0.531,2517,2,0.336,5,6,n
5161,42,0.105,1002,2,0.411,2,2,n
10097,104,0.763,1388,3,0.309,3,2,y
719,22,1.0,1902,2,0.246,6,3,y
3199,44,0.467,0,4,0.0,3,1,n
4574,63,0.75,1302,0,0.631,5,3,y
4388,48,0.6,0,3,0.0,2,2,n
626,25,0.667,0,3,0.0,4,1,n
6459,57,0.781,1203,3,0.641,5,2,n
9687,62,1.0,0,4,0.0,3,3,n
2493,38,0.81,1451,3,0.277,5,3,y
734,27,0.421,392,3,0.051,6,2,n
441,45,0.452,1794,2,0.309,5,3,y
8091,49,0.485,2283,3,0.86,1,2,n
3556,70,0.707,1461,2,0.042,5,2,y
5160,47,0.621,2517,4,0.756,3,3,n
3726,42,0.4,0,2,0.0,3,2,n
4198,47,0.516,0,3,0.0,6,1,n
8394,63,0.853,2517,2,0.791,1,1,y
2416,40,0.6,2408,4,0.07,1,3,n
2096,60,0.622,1843,4,0.057,3,1,y
60,33,0.833,2016,3,0.587,4,2,y
3302,73,0.46,889,2,0.04,6,2,y
1674,58,0.611,1267,2,0.293,4,2,y
7143,39,0.147,2517,4,0.75,1,3,n
1506,46,1.3,2517,2,0.073,6,3,y
1889,63,1.032,0,3,0.0,6,3,y
4220,60,0.765,1792,4,0.184,4,1,y
4441,46,0.586,0,2,0.0,3,3,n
6868,43,0.433,0,4,0.0,4,4,n
8616,84,0.615,1265,2,0.234,2,1,y
9529,92,0.804,2517,1,0.258,2,1,y
4196,46,0.643,524,2,0.355,4,2,n
3587,37,0.233,0,3,0.0,4,3,n
1125,37,0.233,2470,4,0.775,6,1,y
834,32,0.778,1067,3,0.125,2,2,n
70,41,1.05,1763,3,0.051,3,2,y
2143,44,0.571,1542,2,0.265,5,4,y
6764,41,0.519,0,3,0.0,4,3,n
1478,43,0.483,890,4,0.048,6,3,n
9120,71,0.775,0,3,0.0,4,3,n
7109,70,1.258,989,1,0.237,3,2,y
3915,42,0.5,0,2,0.0,2,3,n
7479,77,0.878,1015,1,0.123,6,2,y
1539,33,0.833,1917,3,0.144,6,3,y
7900,56,0.75,0,3,0.0,4,2,n
7573,69,0.683,501,1,0.271,3,3,y
2026,30,0.5,1629,1,0.417,6,4,y
8202,63,0.575,0,3,0.0,4,2,n
8156,75,0.471,1729,3,0.406,1,2,y
4724,86,0.72,784,2,0.063,4,3,y
5661,49,0.885,1091,6,0.125,3,4,n
7786,37,0.321,0,2,0.0,2,2,n
6196,78,1.0,0,2,0.0,5,1,y
9936,60,0.5,199,4,0.02,2,3,n
9197,114,0.727,0,3,0.0,2,1,y
6928,51,0.594,382,4,0.175,4,3,n
1649,14,0.273,511,3,0.015,4,4,n
3061,36,1.0,1782,4,0.424,3,1,y
3449,40,0.739,1088,2,0.643,6,3,n
6770,48,0.714,0,2,0.0,4,4,n
6583,39,0.444,0,6,0.0,5,3,n
910,47,0.469,0,2,0.0,4,1,y
5300,42,0.448,0,4,0.0,3,3,n
6684,43,0.387,1030,2,0.408,3,3,n
2429,30,0.579,2215,3,0.731,6,2,y
6783,44,0.467,910,2,0.633,3,3,n
5038,80,0.951,0,2,0.0,3,2,y
4037,41,0.242,0,4,0.0,3,2,n
3505,63,0.75,0,3,0.0,3,1,y
1990,56,1.24,633,2,0.056,3,2,y
1742,35,0.522,0,4,0.0,1,3,n
8002,88,0.66,892,3,0.62,1,2,y
9334,59,0.735,0,3,0.0,2,1,n
5919,35,0.346,0,1,0.0,3,2,n
6626,68,0.581,2517,2,0.806,6,3,y
4865,74,0.423,871,2,0.145,6,2,y
64,23,0.917,1634,2,0.111,4,2,y
4339,41,0.64,0,6,0.0,3,3,n
9749,103,0.717,0,2,0.0,1,3,y
9760,93,0.603,1130,2,0.176,2,3,y
7782,58,0.568,965,2,0.306,2,3,n
5823,38,0.652,1608,3,0.802,6,3,n
9859,72,0.714,0,3,0.0,5,2,n
5019,34,0.478,0,4,0.0,3,2,n
127,23,0.353,2227,2,0.191,3,3,n
1557,35,0.4,1928,4,0.606,5,1,y
4680,42,0.312,860,2,0.443,3,3,n
8907,89,0.561,933,3,0.049,1,1,y
1411,30,0.579,2169,4,0.173,6,1,y
4487,46,0.586,154,3,0.004,4,2,n
2005,15,0.25,0,4,0.0,2,3,n
2539,78,0.66,1745,4,0.1,4,2,y
840,31,0.348,1142,1,0.232,6,3,y
3367,29,0.526,326,5,0.111,6,3,n
7586,30,0.2,731,3,0.174,3,3,n
4988,41,0.519,399,1,0.012,5,2,n
8833,48,0.548,0,2,0.0,1,3,n
3144,61,0.794,1778,5,0.082,4,1,y
9624,124,0.746,1357,3,0.039,3,3,y
4022,64,0.641,1069,2,0.145,4,1,y
7400,82,0.745,1276,1,0.129,6,1,y
145,16,0.455,0,3,0.0,3,2,n
6472,67,0.489,991,2,0.2,6,2,y
1521,42,0.448,1504,4,0.305,3,3,y
7594,56,0.867,0,4,0.0,3,2,n
9409,51,0.7,2517,2,0.259,2,3,n
1572,38,0.652,564,3,0.026,4,1,y
181,24,1.0,2107,3,0.19,6,2,y
2351,34,0.7,1300,2,0.284,3,1,y
4956,42,0.5,0,1,0.0,3,2,n
8730,105,0.544,2379,1,0.195,2,1,y
8892,82,0.745,1742,3,0.05,1,1,y
5115,46,0.586,0,5,0.0,3,2,n
639,42,0.75,2517,0,0.183,6,2,y
5562,36,0.636,0,2,0.0,1,2,n
4050,53,1.038,0,3,0.0,3,3,n
1644,54,0.8,1472,3,0.526,6,2,y
3056,83,0.976,1365,0,0.5,3,3,y
6151,41,0.519,0,3,0.0,3,4,n
7232,35,0.346,0,3,0.0,3,4,n
4068,30,0.579,0,4,0.0,3,1,n
9753,94,0.709,2005,2,0.375,2,1,y
689,15,0.364,1930,3,0.825,3,3,n
5592,54,1.077,0,3,0.0,4,0,n
8543,50,0.515,0,3,0.0,1,3,n
9135,38,0.462,710,2,0.318,2,1,n
172,20,0.25,0,1,0.0,2,2,n
5520,38,0.407,0,2,0.0,3,2,n
69,15,2.0,1330,2,0.053,6,2,y
4807,79,0.927,0,1,0.0,4,1,y
503,31,0.824,2517,0,0.911,4,1,y
3638,34,0.417,1604,3,0.848,3,3,n
5002,32,0.28,0,4,0.0,4,2,n
9984,68,0.478,532,5,0.035,1,3,n
8976,100,0.562,0,1,0.0,1,6,y
2095,55,0.833,1687,1,0.461,4,2,y
537,27,0.421,0,3,0.0,3,5,n
2510,14,2.5,0,5,0.0,2,1,n
4701,27,0.0,0,4,0.0,5,3,n
4208,69,0.725,867,2,0.595,5,2,y
337,26,0.444,2517,2,0.867,4,3,n
8801,86,0.593,942,3,0.027,2,1,y
4837,76,1.0,1537,4,0.529,4,3,y
7682,76,0.949,1276,3,0.644,3,2,y
1465,36,0.44,0,4,0.0,3,1,n
6944,45,0.667,0,2,0.0,6,2,n
3488,61,0.743,0,3,0.0,4,3,y
2909,33,0.737,2517,2,0.548,6,1,y
7660,56,0.556,0,2,0.0,1,3,n
4983,48,0.846,0,4,0.0,3,2,n
10028,113,0.766,1184,3,0.194,6,5,y
3990,36,0.385,2361,2,0.068,2,3,n
6604,35,0.667,1958,2,0.085,3,4,n
9802,109,0.847,1786,3,0.064,4,2,y
9540,90,0.837,1059,3,0.051,6,2,n
1628,18,0.059,2517,2,0.772,3,2,n
7158,70,1.188,0,2,0.0,6,2,y
9972,63,0.909,2429,4,0.689,1,2,n
7990,44,0.833,0,2,0.0,2,3,n
7725,83,0.766,745,2,0.518,1,2,y
7073,46,0.394,605,3,0.113,5,3,n
6420,46,0.394,2425,3,0.885,4,3,n
5757,43,0.433,0,3,0.0,3,6,n
9745,100,0.786,1293,2,0.316,1,1,y
5272,40,0.739,544,2,0.378,4,3,n
8134,81,1.077,468,1,0.325,2,1,y
8125,61,0.848,965,5,0.127,5,6,n
3494,76,0.81,1791,4,0.577,5,2,y
8420,69,0.865,920,3,0.606,1,3,y
1477,36,0.5,666,1,0.352,1,2,n
7226,53,0.828,2517,3,0.519,1,3,n
1067,31,0.409,2341,3,0.689,5,3,y
808,42,0.448,1729,0,0.801,3,3,y
8285,71,0.69,1127,2,0.583,2,2,y
4654,43,0.303,728,1,0.039,2,3,n
9444,63,0.8,2219,3,0.162,2,2,n
2555,68,0.744,0,3,0.0,4,1,y
3170,26,0.857,1869,0,0.196,6,1,y
5428,90,0.636,0,1,0.0,3,2,y
5977,97,0.565,1542,3,0.207,6,3,y
