,CLIENTNUM,Current_customer,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Current_customer_Num
39,99,n,66,0,0,1,1,5,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0
40,10081,y,45,1,3,2,2,3,0,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,1
41,7018,y,51,1,2,6,1,1,0,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,1
42,7595,y,50,0,1,0,2,1,3,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,1
43,7710,y,49,1,3,3,1,2,0,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,1
44,6347,y,38,0,4,2,2,5,0,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,1
45,2321,y,49,1,4,5,2,3,0,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,1
46,8628,y,56,1,2,1,1,2,0,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,1
47,6825,y,59,1,1,1,1,1,0,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,1
48,9154,y,46,1,3,3,1,3,0,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,1
49,7361,y,52,1,1,0,2,3,0,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,1
50,6438,y,52,0,3,6,1,4,0,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,1
51,7938,n,54,0,1,2,1,4,0,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0
52,1707,y,66,0,0,3,1,4,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,1
53,2402,y,49,1,2,6,1,0,0,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,1
54,3279,n,56,1,2,2,1,0,0,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0
55,5049,y,49,0,4,2,3,4,0,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,1
56,4467,y,49,0,3,2,2,4,0,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,1
57,7136,y,56,1,2,5,1,1,0,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,1
58,1661,y,44,0,5,2,1,5,0,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,1
59,3126,y,42,1,2,3,2,2,0,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,1
60,8376,y,55,1,3,6,1,3,0,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,1
61,1980,n,48,1,2,2,1,2,3,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0
62,1689,y,39,1,1,3,0,2,0,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,1
63,972,y,44,1,4,4,2,0,0,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,1
64,32,y,53,1,2,3,2,0,0,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,1
65,8572,y,51,1,4,5,2,3,3,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,1
66,9399,y,57,1,2,0,1,2,0,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,1
67,8475,y,44,0,2,5,2,4,0,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,1
68,1590,y,49,1,2,2,1,2,0,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,1
69,5085,y,50,1,2,1,1,3,0,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,1
70,4125,y,51,1,4,2,2,0,0,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,1
71,6107,y,55,0,2,2,1,4,0,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,1
72,5846,y,54,1,1,2,3,2,0,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,1
73,9887,y,42,1,5,5,1,3,0,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,1
74,8857,y,44,1,1,0,2,2,0,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,1
75,2443,y,53,1,2,2,2,3,0,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,1
76,9289,y,44,0,4,2,2,4,0,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,1
77,3524,y,37,0,3,5,2,4,0,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,1
78,7834,y,49,1,3,2,0,2,0,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,1
79,1322,y,47,1,2,2,1,3,0,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,1
80,3972,y,47,1,3,2,1,2,0,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,1
81,3716,y,44,1,1,6,3,0,0,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,1
82,1443,n,55,0,4,6,1,1,0,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0
83,6938,y,59,0,1,2,1,5,0,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,1
84,8981,y,53,1,1,2,0,3,0,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,1
85,4343,y,52,1,2,2,1,2,0,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,1
86,3847,y,53,1,2,3,2,0,0,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,1
87,1828,y,43,0,3,5,2,4,0,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,1
88,5921,y,44,1,3,3,2,2,0,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,1
89,7819,y,57,1,2,6,1,0,0,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,1
90,4897,y,51,0,2,3,2,4,0,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,1
91,3111,y,49,1,4,3,2,3,0,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,1
92,3135,y,45,1,1,2,2,1,0,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,1
93,8617,y,53,1,0,2,2,3,0,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,1
94,3937,y,45,0,3,6,1,5,0,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,1
95,5916,y,64,1,1,2,1,4,0,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,1
96,7558,y,45,1,3,2,1,1,0,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,1
97,6230,y,53,1,3,1,1,1,0,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,1
98,9191,y,56,1,3,0,1,0,0,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,1
99,1915,n,47,1,2,6,1,3,0,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0
100,3502,y,49,0,3,0,2,5,0,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,1
101,2970,y,41,0,3,6,1,5,3,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,1
102,7858,y,53,1,3,2,1,0,0,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,1
103,6595,y,44,0,2,2,2,4,0,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,1
104,2818,y,44,1,3,3,3,2,0,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,1
105,4479,y,43,0,4,4,1,4,0,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,1
106,7951,y,53,1,2,4,2,0,0,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,1
107,5065,y,44,1,1,5,1,2,0,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,1
108,9406,y,62,0,1,6,1,4,0,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,1
109,175,y,54,1,4,6,0,0,0,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,1
110,1395,y,57,1,4,2,1,2,0,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,1
111,184,y,42,1,3,6,1,2,0,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,1
112,9156,y,42,1,4,3,0,2,0,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,1
113,5396,y,54,0,0,5,1,4,0,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,1
114,1887,y,48,1,3,2,2,3,0,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,1
115,3513,y,49,1,1,2,2,3,0,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,1
116,10069,y,52,1,3,3,3,3,0,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,1
117,7433,y,50,1,3,3,2,3,0,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,1
118,6590,y,49,1,1,1,1,2,0,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,1
119,3773,y,53,0,2,3,1,4,0,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,1
120,5291,y,50,1,2,2,2,0,0,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,1
121,5895,y,55,0,1,1,1,4,0,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,1
122,3547,y,53,1,1,3,1,3,0,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,1
123,8292,y,47,0,3,3,2,1,0,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,1
124,7292,y,55,1,2,0,2,0,3,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,1
125,1592,y,47,1,3,2,2,2,0,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,1
126,8253,y,58,1,4,2,2,0,0,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,1
127,6162,n,53,1,2,2,1,3,0,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,0
128,5120,y,52,1,2,3,2,1,0,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,1
129,1334,y,50,0,1,5,3,4,3,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,1
130,3488,y,42,0,1,2,1,4,0,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,1
131,9943,y,43,1,4,6,1,1,0,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,1
132,3343,y,57,1,4,2,1,3,0,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,1
133,2703,y,52,1,1,2,1,3,0,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,1
134,1647,y,47,1,2,1,2,4,0,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,1
135,97,y,44,0,3,2,2,1,0,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,1
136,5636,y,53,1,2,3,0,2,0,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,1
137,4981,y,45,1,4,0,0,2,0,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,1
138,1485,y,63,0,1,0,1,5,0,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,1
139,3996,y,39,0,2,4,2,4,0,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,1
140,8685,n,48,0,5,3,1,4,0,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,0
141,8855,y,51,1,1,6,2,0,0,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,1
142,891,y,54,1,4,2,1,3,0,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,1
143,5454,y,59,0,1,2,2,4,0,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,1
144,7111,n,59,1,1,0,2,2,0,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,0
145,2482,n,48,0,4,5,1,4,0,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,0
146,4182,y,41,0,2,2,2,4,0,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,1
147,9815,y,55,1,2,2,1,0,0,50,3,2,0,10916.0,1536,9380.0,1.317,1592,34,1.0,0.141,1
148,7498,y,47,0,4,2,1,5,0,36,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,1
149,2157,y,41,1,2,3,1,3,0,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118,1
150,1439,y,40,1,3,3,2,3,0,28,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,1
151,2357,y,68,1,1,2,1,5,0,56,5,2,3,13860.0,1652,12208.0,1.255,1910,32,1.909,0.119,1
152,2079,y,50,0,1,2,2,1,3,31,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571,0.0,1
153,7623,y,47,1,4,5,2,2,0,41,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,1
154,9023,y,53,0,1,0,1,4,0,47,4,2,3,2154.0,930,1224.0,2.121,1439,26,1.364,0.432,1
155,2940,y,42,0,5,6,1,1,0,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,1
156,2801,y,48,0,4,3,2,1,0,38,6,1,3,8135.0,0,8135.0,1.373,1716,29,0.812,0.0,1
157,2212,y,49,1,1,1,1,0,0,38,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8,0.066,1
158,5462,y,44,0,2,5,1,5,3,35,4,3,2,32643.0,0,32643.0,1.3,1058,24,2.429,0.0,1
159,5483,y,43,0,4,2,0,4,0,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,1
160,6190,y,56,1,0,3,1,3,0,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,1
161,3152,y,59,0,1,0,2,5,0,36,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824,0.309,1
162,2614,y,46,1,1,5,1,2,0,36,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167,0.101,1
163,3510,y,47,0,4,6,0,4,0,41,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,1
164,7528,y,50,0,4,5,1,1,0,40,5,2,3,3065.0,1570,1495.0,1.077,1130,28,1.333,0.512,1
165,1421,y,51,0,3,5,1,4,0,43,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429,0.806,1
166,3225,y,47,0,3,5,1,4,0,36,4,1,0,1611.0,746,865.0,0.993,1413,29,0.706,0.463,1
167,4069,y,58,0,4,5,1,4,0,47,3,3,3,2822.0,2173,649.0,1.456,1218,23,2.286,0.77,1
168,2912,n,46,1,5,2,2,3,0,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,0
169,708,y,53,1,3,3,1,2,0,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0,1
170,4401,y,45,0,4,5,0,5,0,36,4,3,3,15875.0,1719,14156.0,0.86,1592,37,1.467,0.108,1
171,3157,y,52,0,1,3,1,4,0,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133,1
172,427,n,53,1,2,6,1,3,0,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,0
173,2290,y,50,1,2,3,1,3,3,45,3,1,3,34516.0,1260,33256.0,0.588,1504,34,0.789,0.037,1
174,9883,y,41,0,3,3,1,1,0,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,1
175,3604,y,45,0,5,2,0,1,0,36,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867,0.171,1
176,4263,y,53,1,3,5,1,3,0,42,2,1,2,26792.0,1836,24956.0,1.432,2398,47,0.88,0.069,1
177,4789,y,67,0,1,2,1,4,0,56,4,3,2,3006.0,2517,489.0,2.053,1661,32,1.0,0.837,1
178,2495,y,57,0,2,5,2,1,3,36,6,3,0,19482.0,1072,18410.0,0.706,1421,22,1.444,0.055,1
179,1349,y,59,0,1,5,1,1,0,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556,0.294,1
180,7967,y,45,1,2,5,1,1,0,34,3,2,1,5771.0,2248,3523.0,1.791,1387,18,0.8,0.39,1
181,3799,y,51,1,3,2,1,3,0,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19,1
182,9670,y,59,0,1,5,1,4,0,54,5,3,0,2890.0,2001,889.0,1.334,1860,36,1.0,0.692,1
183,5738,y,53,1,1,2,1,2,0,45,6,2,2,3380.0,1701,1679.0,0.747,1502,25,1.273,0.503,1
184,788,y,47,1,3,2,1,2,0,36,2,1,2,21331.0,1251,20080.0,0.949,1460,50,1.083,0.059,1
185,6622,y,49,0,3,5,2,5,0,38,6,2,1,12860.0,0,12860.0,0.646,1348,27,0.286,0.0,1
186,8043,y,49,1,3,4,2,3,0,33,3,1,0,6278.0,462,5816.0,1.161,1087,33,0.941,0.074,1
187,9566,y,60,0,0,0,2,4,0,55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.571,0.513,1
188,1452,y,50,0,2,3,1,4,0,36,5,1,2,9355.0,1626,7729.0,0.701,1230,28,0.867,0.174,1
189,8071,y,41,0,2,4,1,5,0,31,6,1,3,20758.0,0,20758.0,0.688,1555,32,0.684,0.0,1
190,8152,y,57,1,1,2,1,3,0,47,5,3,1,14612.0,1976,12636.0,1.768,1827,24,3.0,0.135,1
191,5057,y,43,1,4,2,3,3,0,27,5,2,0,27259.0,0,27259.0,0.731,1376,35,0.591,0.0,1
192,3323,y,57,0,3,2,1,4,0,47,4,2,3,6347.0,1594,4753.0,0.896,1771,37,0.762,0.251,1
193,8161,y,54,1,3,1,1,0,0,41,3,3,0,21592.0,1676,19916.0,1.097,1873,52,0.529,0.078,1
194,4026,y,51,0,5,4,1,4,0,44,5,1,1,3449.0,1598,1851.0,0.971,1679,42,0.556,0.463,1
195,6300,y,47,0,3,3,1,4,0,34,2,1,2,6028.0,799,5229.0,0.819,1002,22,0.571,0.133,1
196,4089,y,41,1,0,3,3,0,0,36,3,2,3,18214.0,1998,16216.0,0.829,1344,21,1.1,0.11,1
197,2169,y,53,1,3,5,1,3,0,43,3,3,1,16393.0,1423,14970.0,1.642,1461,42,0.75,0.087,1
198,378,n,68,1,0,3,1,4,0,52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626,0
199,5114,y,59,1,1,0,1,2,0,36,4,1,2,7871.0,1687,6184.0,1.242,1428,22,1.444,0.214,1
200,6413,y,48,1,4,6,1,3,0,36,5,3,0,5288.0,866,4422.0,0.869,1777,42,0.75,0.164,1
201,7399,y,44,1,5,2,1,2,0,32,4,5,3,11376.0,2006,9370.0,0.619,1302,27,0.8,0.176,1
202,6866,y,48,1,3,0,1,3,0,41,4,5,3,12302.0,1632,10670.0,1.509,1483,41,0.519,0.133,1
203,7251,y,47,1,4,2,1,2,3,33,3,2,1,34516.0,1679,32837.0,0.623,1060,27,0.5,0.049,1
204,7911,y,47,1,2,2,1,2,3,32,4,2,2,34516.0,1468,33048.0,0.505,1330,32,0.684,0.043,1
205,1669,y,43,0,1,3,0,4,3,35,3,2,2,10514.0,1580,8934.0,0.504,1229,27,0.8,0.15,1
206,5963,n,55,0,2,2,1,4,0,43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0.0,0
207,1721,n,59,1,2,4,1,2,0,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0.0,0
208,9434,y,63,1,1,2,1,1,0,56,2,1,2,2619.0,1779,840.0,1.259,1450,37,0.947,0.679,1
209,9891,y,58,1,2,0,1,0,0,53,2,3,0,24407.0,2395,22012.0,1.071,2311,48,0.714,0.098,1
210,4138,y,53,0,2,3,1,4,0,36,4,1,2,2377.0,1649,728.0,0.93,1378,26,1.167,0.694,1
211,1196,y,59,1,0,6,3,3,3,40,3,2,3,34516.0,1359,33157.0,1.327,1033,26,1.364,0.039,1
212,9322,y,52,1,3,2,1,0,0,47,5,3,3,11086.0,2207,8879.0,0.869,1523,40,1.105,0.199,1
213,815,y,48,1,3,3,2,2,0,36,4,2,2,11432.0,2517,8915.0,0.615,1374,37,0.762,0.22,1
214,4391,y,43,1,4,3,1,1,0,36,5,3,2,13258.0,1721,11537.0,0.908,1080,21,1.333,0.13,1
215,2969,y,48,1,2,0,2,4,0,36,3,2,3,2571.0,1955,616.0,0.531,1234,24,0.714,0.76,1
216,5520,y,43,0,4,2,2,4,0,31,5,2,0,5781.0,1168,4613.0,0.638,1600,32,0.455,0.202,1
217,7240,y,44,1,4,6,1,2,0,30,5,1,2,7872.0,2509,5363.0,0.971,1155,32,0.882,0.319,1
218,9012,y,41,1,3,3,1,3,0,35,6,1,2,34516.0,1202,33314.0,0.603,1353,33,0.737,0.035,1
219,9222,y,44,0,3,5,0,4,3,38,4,1,3,11127.0,1835,9292.0,2.368,1546,25,1.273,0.165,1
220,7000,y,50,1,2,6,2,1,0,43,2,1,3,1857.0,1603,254.0,0.579,1590,43,1.263,0.863,1
221,3410,y,60,0,1,5,1,4,0,36,5,1,0,1913.0,1272,641.0,1.008,1448,22,1.0,0.665,1
222,7694,y,44,1,4,2,2,3,0,24,5,3,0,3839.0,2295,1544.0,0.569,1271,24,0.714,0.598,1
223,3176,y,48,0,3,2,0,1,0,39,6,2,3,2115.0,1141,974.0,0.616,1223,20,0.538,0.539,1
